anger_train_comment,anger_train_label,anger_test_comment,anger_test_label,joy_train_label,joy_train_comment,joy_test_label,joy_test_comment,sadness_train_comment,sadness_train_label,sadness_test_comment,sadness_test_label,love_train_comment,love_train_label,love_test_comment,love_test_label
Back-compat Lucene-style and agile design aren't something that marries well.,0,It will be taken care as part of HADOOP-7642.,0,0,"Until there will be _real_ need of adding new Monoid implementations, I would suggest to postpone the problem and keep *your* version of the patch.",0,Is it possible for someone to take a look at this patch to get things moving along?,"As I explained the XSL files have nothing to do with FOP, so its impossible for FOP to tell you which file/line number in XSL stylesheet(s) the problem lies at.",0,"Leonard""
BR, Bill Fausser",0,belongs to cactus project?,0,I think the licensing on that one might be complicated.,0
Bad IE.,1,It's great to see you've gotten the ball rolling Chris.,0,0,"Let's fight with the right weapons when we need, I wouldn't use a katana to kill a fly (unless I am Bruce Willis and I'm in Pulp Fiction :P)

best and thanks!",0,"its only tests, no source code changes.","As I said on that thread, I'm in a compilers class right now and I thought I might make a more ""enlightened"" attempt using lex/yacc soon and see where that gets me, if no one else gets this done first.",0,"Line 1664 (sorry, the 0.94 codeline)",1,"Best regards,
Andrew",1,I updated the wiki doc for the sqs component as well.,0
Bad memory.,1,it's not a merge setting and I think it's rather confusing today since we take the merge setting and use it for indexing.,0,0,No issue found after noting how it's invoked.,0,"Leo, thanks for the patch - applied at r488522.
","As mentioned there to fix the issues blueprint code that calls out to any kind of client code (reference listeners, service listeners, initialiser methods) should not hold the full BlueprintRepository lock, which allows deadlocks like the two observed.",0,Looks great to me.,0,Better to have the samples run on the fly :-) .,0,I will look at applying this later today.,0
Because of that the default parent is the same loader as the loader that loaded the class GroovyShell - this loader knows the groovy classes.,0,"Jeremy, are you still planning to take a stab at this?",0,0,And interestingly suddenly this is moved from MAPREDUCE to OOZIE.,0,I did translate some Labels to german language.,As they're startup related.,0,Looks great Todd.,0,Both the reducers (and possibly everybody else) is waiting on these.,0,I would just need to retrieve the backgroundAlpha style before calling drawRect in its updateDisplayList.,0
"Because, we don't care for this in cases where we there is no node that is down.",1,Logic like that has nothing to do with GroovyShell in my eyes.,0,0,Running patch through hudson.,0,fPIC rings a bell on amd64.,"Aside from the job succeeding (it doesn't), what effect should I be able to measure (in order to see if this is doing anything)?",1,"mail.phnx.uswest.net has address 63.231.195.31
host -t ptr 31.195.231.63.in-addr.arpa.",0,bq. First of welcome :) Thank you.,1,I'm going to commit this momentarily.,0
"Besides, I don't think there should be any expectation of ""it'll just work"" if you copy some arbitrary subset of an old schema into a new example config.",0,Looking forward to your patch.,0,0,A new issue (https://issues.apache.org/jira/browse/RAMPARTC-140) is created for implementing SupportingToken assertion.,0,"What are the disadvantages to adding -fPIC (a) for amd64 only, (b) for all platforms?","At some moments it could be upgraded to do IDEA 8 format, but it's not important for now.",0,Make sure to use the hsync api for persistency guarantees.,0,"Brilliant feedback, thanks! I'm glad you found the issue, and the solution!",1,I'm often running ad-hoc analysis in grunt with snippets taken from some heavier scripts I've written and I get bitten ALL the time.,0
Beware all ye who venture here: the sea of XSLT is deep and wide and unforgiving.,0,"Marvin, I've clogged these lists too often today, so I'll just say this to you.",0,0,v1 fixes the nit,0,This is fixed in V2 and an automated regression case has been created.,"Attached is the patch, running derbyall right now.",0,Marking as dup of HBASE-5861 (You saw it first Andrew but Jon is going to work on this over in 5861..),0,Bulk close for 3.1,0,"If the developer wants to know whether he is using any possibly unstable components, all he needs to do is to glance at the set of import statements on the top - if he's using other classes than org.apache.jspwiki.api.",0
Bloody hell !!!,1,Maybe first see the results of the discussion at: http://www.nabble.com/Undocumenten-constraints---consistency-of-templates-td21863067.html,0,0,Patch committed.,0,Closing,"Attaching patch file AVRO-957.patch:
We (Hitwise Pty Ltd) hereby assign all rights to the code contained within this patch over to the Apache Software Foundation (ASF) under the Apache Licence.",0,"marking Fixed in 1.3
(I believe Ryan left this open to track any potential issues ... if nothing else this way we'll remember to resolve it before releasing)",0,But I'm not convinced its wise to add such support to the exisiting Java-only container file formats.,0,if this is not a good model - then we should switch it with something different altogether.,0
Blooper after blooper - I hate SVN.,1,Maybe we're stuck with it until log4j fixes its dependencies?,0,0,Thanks Ankit!,0,Thanks Sanjay for the review.,Because this neither-here-nor-there code-reuse seems not much useful.,0,Maybe we should purge the Reader+queuing step and just have Handlers do the read (Nicolas Liochon what you think?),0,"But if one more ledger is created, then on next gc call, all ledgers deleted ( which are having lesser ledgerId than latest created) will be gc'ed.",0,If we want to generate similar variable (for ex.,0
bq. this is solr's fault by having a getter that does some heavy duty xml shit.,1,"Maybe you want to do shuffle in this way: Firstly, copying remote map outputs and store the shuffled segments into memory as usual.",0,0,"Thanks for the patch, Kim.",0,I have committed this.,"BR
Maruan",0,"Mike, I can take this one if you want...",0,But it would be better if you could provide a patch ;-) Thanks again.,0,"In any case, why did not the framework try and re execute this map somewhere else?",0
"bq.In order to maintain different states at which we are in while creating table should we go for a special node under the table znode or can we add new states to the existing table states like (DISABLING, ENABLING, DISABLED etc)
IMO go with separate node.",0,More tomorrow.,0,0,I will look at those remaining references to NATIVE::LOCAL in the error messages.,0,(My 0.8 checkout was on the 0.8.6 tag when I reported that CliTest worked completely.),"Brandon, sorry.",1,Missed 2 new files - sorry !,1,But it'd still be nice to get the actual hotspot bug fixed.,0,"In this case, the first OOM occurred here during writing the checksum.",0
"br,
Matt",0,"Moreover, there must be something going wrong in relation to the SPO index, an exception is thrown:
ERROR **** Not the root: 11264
com.hp.hpl.jena.tdb.index.bplustree.BPTreeException
at com.hp.hpl.jena.tdb.index.bplustree.BPlusTreeRewriter.packIntoBPlusTree(BPlusTreeRewriter.java:78)
at com.hp.hpl.jena.tdb.store.bulkloader2.CmdTDBLoader2.createBPlusTreeIndex(CmdTDBLoader2.java:224)
at com.hp.hpl.jena.tdb.store.bulkloader2.CmdTDBLoader2.exec(CmdTDBLoader2.java:166)
at arq.cmdline.CmdMain.mainMethod(CmdMain.java:85)
at arq.cmdline.CmdMain.mainRun(CmdMain.java:47)
at arq.cmdline.CmdMain.mainRun(CmdMain.java:34)
at com.hp.hpl.jena.tdb.store.bulkloader2.CmdTDBLoader2.main(CmdTDBLoader2.java:95)
I don't see why, at the moment.",0,0,"I tripped across one puzzling sentence, but it wasn't something that you changed: In the second, longer paragraph of the BUILTIN bullet, we recommend LDAP and user-supplied schemes as alternatives to BUILTIN, but we don't recommend NATIVE.",0,I committed this.,Breakpoint handler frame is detected and processed specifically by unwinding algorithm.,0,More like can't fix.,0,"But, we still might want to sort it to ensure (better) progress (no livelock).",0,Is that so Ram?,0
"Brandon's pretty confident, but I'd rather not cram it into a minor release just in case there's something we missed.",0,"Move startTime from DecommingStatus to DatanodeDescriptor so startTime could be used to represent either decommissioning or dead start time;
2.",0,0,Did we decide to not recommend NATIVE here or should this be adjusted to include it beside the other safe schemes?,0,Patch checked in.,Bringing into 0.90.0.,0,Must be: size >= 0!,0,Can I get a +1 from someone else.,0,Is this sufficient?,0
BTW: This is one reason why I hate this autoboxing shit since Java 5. I would love to have a way to prevent it in code (forbidden checks should detect this somehow).,1,My bad.,1,0,Thanks.,0,Thanks for the patch.,btw: maybe we should add this Jira's as subtasks to HARMONY-5277 ?,0,Need it to test the fix.,0,Can someone review the patch in the meanwhile?,0,"It is supposed to be handled as part of
http://issues.apache.org/jira/browse/OPENJPA-907
There is a patch attached to it (I was a bit liberal with the RegEx).",0
But I could join them.,0,My bad.,1,0,It could be that this has been resolved already (elsewhere).,0,It has been applied to the trunk.,Bug in existing testDelegationTokenRestoredOnRMrestart().,1,No sorry.,1,can we apply the jarjar solution only to commons-csv?,0,"It make sense, I am attaching the updated patch.",0
"But I will quit committing to Hama then, because I'm not going to support ONLY a binary format.",1,My bad.,1,0,See attached patch.,0,I'll commit this soon unless there are objections.,Bugs like this make me sad.,1,of course!,0,Can you attach the WSDL /XSD files that created the problem ?,0,It should simplify things.,0
But never mind - maybe the proposed cache is all greatness.,0,My bad.,1,0,I'll add docs in Confluence if the example is integrated in Camel's codebase.,0,Thanks for the patch Glen.,"buildr idea still produces the ""old"" format files (IDEA 6 maybe?)",0,"Oh, ok.",1,Can you give them a try and make sure it's all OK?,0,Leaks file handles via IW.getReader(),0
"But now that I think about it, it may crap out when coming back to read even on a recovered file.",1,My bad...,1,0,Closing all issues created in 2005 and before which are marked resolved,0,I'm gonna review it and apply.,"but app developers should always explicitly set it based on their application
My guess is that a large enough group of people take the defaults that it matters.",1,"Ok, all done
https://issues.apache.org/jira/browse/KATO
I found sgoyal jira username to be shubham so hope thats right, if so good to go!",0,Can you please submit a patch?,0,Let's commit it .Thanks!,0
"But on the other hand I also think, if the processor has to do this initialization activity (i.e.",0,"Not ideal, but not too bad ;)",0,0,APIs doc is outdated - thanks,0,Can this be closed Martijn?,but both IDEA 7 and IDEA 8 seem to handle them just fine.,0,One underlying cause of this issue is QPID-4731,0,Can you verify with other hypervsisors and update .,0,"Lets see if someone else votes that they want it and if so, then we'll commit?",0
But that's of course completely unrelated to your patch.,0,"Not only it's the first one in my life I'm seeing multiple ways of closing the same thing, it also conceals programming errors.",1,0,"I have committed a fix for this, please close if you are satisfied.",0,Committed to trunk 1384014,But both of those look fine to me.,0,"One way to address it is to get the ip address from the hostname service and use that for matching, but that needs a dns lookup.",0,Cancelling patch until we get a consensus on Carl's comment.,0,Looks good.,0
But would there be other cases that the writer stuck for different reasons?,0,"Nothing gets broken, but we have one more step towards framework independence.",0,0,Thanks.,0,"Resolved, fixed!",But I'm open for suggestions.,0,Or at least the locks need to be much more fine-grained than locking the whole container.,0,cases the values in a derby.,0,Mind adding some comments explaining why this is ok to retry?,0
"But, even if it wasn't it would be totally worthless where it is at.",0,"now that i've made the tests fail, i can finally start trying to figure out why the tests fail.",0,0,What % of clients do think were stuck like this?,0,Please review this for me!,But I'm probably not an JMX expert... ;-),0,"Otherwise, I will try to look at it when I return to some JSF development at work later this month.",0,Changed the patch as per Thejas's suggestion.,0,Not sure if it is reasonable - is it possible to use the classes from HDFS-4979 here.,0
"But, even if it wasn't it would be totally worthless where it is at.",1,"Of course, none that should really matter .",0,0,Mind adding your test run results in here?,0,Thanks!,"But if we go with PayloadMergeProcessor, we'll need PayloadMergeProcessorProvider and they become quite long names :).",0,Our caller may not notice what happend right now.,1,Changes looks good.,0,Okay.,0
"But, if the expression isgraph(wctob(wc)) evaluates to true
(which cannot occur for wc == L' ' of course), then either iswgraph(wc) or iswprint(wc)
&& iswspace(wc) is true, but not both.",0,"Of course, there is no NotNullException.",0,0,QA test result is recorded above.,0,This is not a Camel issue but a CXF.,But it does as a consequence of correctly raising an exception when should be.,0,"Patch providing Comparable for ""api2"" project.",0,Changing serialization systems or file formats is a major imposition for many applications.,0,"On 2008-02-25 15:37:45.766 jchuang commented:
This is an AIR issue, the AIR team has been notified.",0
By passing in the section name {{null}} the content of the global section can be retrieved.,0,"Of course, this only applies if someone where to finish 831 and it where accepted...",0,0,"Closing, works like charm now.",0,committed.,But it seems like clients have to know which protocol they are talking to.,0,Please review.,0,Checked in the patch (see revision 1295288).,0,"On 2011-10-26 14:27:36.512 chiedozi commented:
This would be a very simple change to make.",0
Can we even be sure that the thread is the same?,0,"Oh, my stupid:)",1,0,Stefan: are you sure you had a clean build with my patch applied?,0,"(looks like these were introduced in CASSANDRA-1714, fwiw, so i'm going to tag affects-version to 0.7.1)","But it was not the only issue: we also want to manage priorities between the tasks, but we need to read them to get enough information to make the right priorities.",1,Pushed to master.,0,"Cheers,
Ashwin...",1,org/apache/xml/serialize/EncodingInfo.java:0: error: cannot find file for class sun.io.CharToByteConverter,0
Can't be avoided though given what is going on here.,0,Ok here is a patch that works. I was stupid enough not to see it...,1,0,Please follow up on the forum: http://www.jboss.com/index.html?module=bb&op=viewtopic&p=4178893#4178893,0,"Released with GEP 221, so I close this JIRA.",But may is better to have no test method than the one with 10 aspects.,0,"Regards,
Leon",0,"Cheers,
Berin",0,"Our APIs should be of course be general enough that it's possible to incorporate different serialization systems and different file formats, but we needn't provide implementations of all combinations of these, but should rather direct folks towards a primary implementation.",0
CFS.gRS is a pretty thin layer over RowIterator.,0,"OK, done, added some more javadocs as well.",0,0,suggested for 3.1.1,0,Untar this to populate the position_hints table.,"But not very helpful at the sizes you are working with (and not settings I would use to save RAM anyway, unless the amount I need to save was pretty small).",0,"ReplicaManager:
22.1 recordLeaderLogUpdate(): Could we rename it to recordLeaderLogEndOffset()?",0,Cleanup MR staging directory on completion.,0,Patch committed.,0
"Clearly you don't understand the goals of Velocity or this is one hell of a
humor piece.",0,"OK, this solution sucks, and since people are relying on these scripts instead of using tools like ant, we need to give them the ability to upgrade these tools without having to create a new project.",0,0,Might want to correct the misspelling: *remvoed* AllFromInodesFromMap :),0,Change the summary to match the real issue.,But that state is only in the class not in the object,0,Resubmitting and making it a blocker for 0.22,0,Closed after release.,0,Patch d1544-patch2-v2.diff committed revision 429036 - Thanks Deepa,0
"Clearly, one Visitor interface just can't satisfy everyone.",0,"OK, works for me.",0,0,Thank you very much Les.,0,You are absolutely right.,"But the Collator object is already available in the territory sensitive character classes and we
do not have to go to database context to get it.",0,Seems to work reliably now.,0,combined patch against 1.0,0,Patch integrated to trunk.,0
click the subversion commits tab.,0,"Okay Edward, you haven't understood how it works.",0,0,This patch looks pretty good.,0,There must be some side effect in my project that circumvented this problem until 6.8.0.,"But, in reviewing the patch, I've come up with a number of ideas for how LeaseManager#changeLease and FSNamesystem#unprotectedChangeLease can be improved.",0,"setting
set hive.script.auto.progress=true;
seems to have no effect.",0,"Committed a slightly cleaned up version of the patch in revision: 1464605
Thanks for your help Todd.",1,"patch to add DynamicAttributesHandler and update SimpleTheme, AbstractCommonAttributesTest, and AbstractTest",0
"Closest example that I can recall were questions about ""The Software shall be used for Good, not Evil"" clause from the JSON License.",0,"Once all the chunks have been uploaded, the Upload Framework can returned a combined file.",0,0,"I think we should apply it.


",0,"Sigh ....

Do you think that is something that can be fixed in Wicket or some kind of IE8 madness that i should look to solve on my side?","By the way, getCanonicalPath() performs actual file access, may take long if drive is slow (e. g. Samba), may fail with exception if path is inaccessible at the moment (e. g. on network drive) etc.",0,"Shazron,
I am using alert to visually notify myself.",0,Committed patch with workaround in revisions 1054027 and 1054030,0,Please check it was applied as you expected.,0
Committing shortly.,0,Or did you see some other errors or bad weinre behaviour?,0,0,Moved to GA.,0,Edison can you check on this issue looks like the fix is not working,"by the way, the only open impl of this algorithm i could find is at http://rrette.com/moman.html (ZSpell) in python.",0,Shouldn't we try to make this idiom work well with HDFS?,0,Committed r1463555.,0,Please check that it was applied as expected.,0
Confused about this.,1,Otherwise the HTable and the HConnection will get very confused.,0,0,"This appears to be a issue with Hibernate (the default JPA implementation in JBoss AS) rather than a EJB3 issue.
",0,Committed with rv800094,Can this ticket me marked as resolved as implementation done for portabl IP,0,"Similar to all other plugins, the life cycle hook should be pluggable in a sense that you can deploy them e.g.",0,"Committed revision 1058592.
thanks uwe for the review",0,Please check that it was applied as you expected.,0
"ConstantScoreQuery and FilterQuery need to AND the filters
together.",0,"Patrick,
I can't manage to reproduce this error.",0,0,Fixed the MAPREDUCE-3028 commit which broke MR1.,0,Patch for aggressive GC test,Can you just apply this patch file over top of the other one?,0,SnappyCodec check for Hadoop native lib is wrong.,1,"Committed revision 1298668.
thanks for the suggestion Antony",0,Please check that the patch was applied as you expected.,0
Content-wise the only part that stuck out to me was the inclusion of the many exceptions that users will never see.,0,Please play around with it.,0,0,Contributed by Hitesh Shah.,0,OK to close?,Can you try it on Mac and see if it works?,0,So I went ahead and made the change.,0,Committed revision 543344 in sandbox.,0,Please check that this resolves the issue for you.,0
Continue processing is the right way i think.,0,Please pull it up to the release branch.Thank you!,0,0,I'll close the ticket as it looks like a non-issue.,0,"Oracle 7u40 runs just fine on Debian, I can't imagine it wouldn't work on Ubuntu.",Cancelling current patch to upload new patch,0,Some of the other test cases in this class failed because that constraint error occurred?,0,Committed revision 901901 to trunk.,0,Please prepare patch for trunk.,0
"Continue with stupid questions :)
Who is sponsor and mentor of project?",0,"Please use git diff to generate patch, because I can't easily apply git patch on a svn tree.",0,0,"* it is impossible to name a column 1
* it is impossible to name a column alias 1

If order by supports this I do not see group by can't?",0,Tested with both JBoss EAP 5.x and Geronimo 2.2.x,"Changes the implementation of insertBetween in OperatorPlan.java so that the ordering of the predecessors is not changed
2.",0,Sorry about that.,1,Committed revision 946641.,0,Sending to IRB.,0
Contributed by Vinay.,0,"Plus, of course you don't have to hardcode the name of the jarfile.",0,0,"Do we want to reconsider this?I kinda like the feature.
",0,Fixed in 426832.,Checked in with revision 388211.,0,Sorry about that.,1,Committed to 0.92 and trunk.,0,Shawn committed the fix in rev 1159269 & rev 1164330,0
Converted from a single FlatFileItemWriter to a database and flatfileitemwriter and didn't register the flatfile one as a stream.,1,Pretty fancy.,0,0,no POM provided here,0,"you seem knowledgeable,
what not submit a patch.","Cheers,
Mick",0,Sorry about the error guys.,1,Committed to branch.,0,"So, i'm going to make a patch that does 1G regions and 128M flushes (with the multiplier still of x2 so we'll grow to 256M before the barrier comes down).",0
Converting to a double[ ] is where the precision is lost.,0,Pretty much every deserialization error shows up as an IOException.,0,0,I resolved the issue via Spring.,0,Applied to trunk.,"Claus, I think I'm busy the next two weeks with [CAMEL-3468|https://issues.apache.org/jira/browse/CAMEL-3468], [CAMEL-3472|https://issues.apache.org/jira/browse/CAMEL-3472], [CAMEL-3471|https://issues.apache.org/jira/browse/CAMEL-3471], [CAMEL-3470|https://issues.apache.org/jira/browse/CAMEL-3470] and [CAMEL-3311|https://issues.apache.org/activemq/browse/CAMEL-3311].",0,Sorry about the trouble.,1,Committed to master.,0,Sounds good.,0
"Crap, forgot to verify that this is inconsistant with MRI, it's not.",1,Pretty much everything that FSNamesystem (ie.,1,0,This is a screenshot from 1.5.3 and that is how I would expect the Directory Studio to behave.,0,I just committed this.,comments on phabricator,0,sorry about this.,1,Committed to master.,0,"Svetlana,
Fixed in LUNI java.net.DatagramPacket at repo revision 376009.",0
"Credit, of course, goes to Dick.",1,Previously we are mainly focus on trunk failures.,0,0,"Harsh, will you have a chance to work on a test for this?",0,"Thanks, Jothi!","Commit 7a977b5eaffb411cb3f1409336cdf42f6b46b18c in branch refs/heads/1.6.x from [~zack-s]
[ https://git-wip-us.apache.org/repos/asf?p=incubator-jclouds.git;h=7a977b5 ]
Reauthenticate on Keystone HTTP 401 (JCLOUDS-178)
The number of retries here is not the same as for 500 errors; expected
behavior is a quick fail while retaining some robustness.",0,"Sorry Chris,
I missed it, done !",1,Committed.,0,Sweet kickstart for our new wiki!,1
Crossing fingers...,0,Pull it back in if you think different.,1,0,Please tell me if you'd like me to help.,0,I've just committed this.,Commited a fix for this into trunk using revision 610846.,0,"Sorry for the delay and thanks for the good work, works like a charm!",1,Committed.,0,"Sweet! Git, I love git! :)",1
CSS is really confusing sometimes.,1,Pull it back in if you think different.,1,0,"Misty,  Can you move JBPAPP-7480 to bz and then cross reference the bz number in this Jira and close this one?",0,resolved in r950171,Committed to HDFS-3042 branch.,0,Sorry for the delay.,1,Committed.,0,"Ted, can you reproduce this outside of cassidy.pl?",0
"Currently, we just assume it might be a laggard and thus isSlowTracker() will return true.",0,"Same for the settings.xml with cleartext password (this caused my initial 401 problem, no way in hell im leaving such a thing around on my computer).",0,0,"Thanks,

Mike",0,If possible can you make sure the patch is checkstyle compliant?,Committed to trunk.,0,Sorry for the noise.,1,Committed.,0,Test code added as part of HDFS-2131,0
Damn copy/paste programming.,0,"Secondly, most point-release upgrades people do are ones in which the config stays the same.",0,0,"v3 rewritten to be lots more explicit and save the vendor, arch, and version numbers for later code to use.",0,Resolved in 1.0.1-SNAPSHOT.,Committed v2 patch to trunk with revision 508383.,0,Sorry for the noise..,1,Committing shortly.,0,Thanks,0
Damn dyslexia!,1,"Shit, I missed a cast.",1,0,"patch by johano; reviewed by jbellis for 
",0,Committed to trunk with revision 447502.,"commons.net 3.0.1
Thsi application is too big RMI is in Jconsole.I myself dont use.I just use ftp.listfiles.",0,"Sorry Gav
DONE
Committed @revision 2487.",1,Completed: At revision: 520469,0,thanks,0
Damn it !,1,should the following be true?,0,0,We just need a possible mentor here... volunteers...?,0,Will leave open until merged to 10.2,Completely missed issue 614..,1,Sorry guys,1,Contributed by Siddharth Seth.,0,Thanks [~cnauroth] & [~tomwhite] for the reviews!,1
Damn it !,1,"Since I screwed up the commit, we voted 2.1.7 down and are working to get 2.1.8 out pretty quickly.",0,0,EAR project case is fixed.,0,Committed to 3.4.6 and trunk.,"Could we remove the setProperty() implementation in HierarchicalConfiguration
and use the default implementation in AbstractConfiguration ?",0,"Sorry guys... :(
I was the reason for this trouble.",1,Contributed by Siddharth Seth.,0,"Thanks a lot for the reviews, Todd.",1
"Damn it, sry lost the orientation.",1,So to prevent a rude awakening for some users it might be cool to provide some means (config or whatever) that works similar as the current version.,0,0,"Alexey, please verify.",0,This patch has been improved a lot.,"Could you please port it to branch-1 that that we could integrate it to branch-1-win
Slavik, thanks for the review!",0,"Sorry I didn't use your patch, but I think you'll like the end result.",1,Contributed by Thomas Graves.,0,Thanks a lot!,1
Damn it.,1,"So, the original problem appears addressed (as I said, the 3 failing tests now pass), but I will investigate these behaviors, and run on another type of machine just to be safe.",0,0,Resolving this issue as it is covered by JBQA-5191 and JBQA-5192.,0,What classes were changed for this fix?,Couldn't the NodeState implementations in question (StoreNodeAsState AFAICS) just use their id to implement hashCode()?,0,"Sorry, db name is TPCDB, user name TPC, pwd whatever...",1,"correct build status capture
echo's exit code",0,Thanks Andrew - the patch was applied to SQL module at r525019.,1
damn this was assigned to you since months.,1,"So, who should create mail lists, bug databases, etc.",0,0,"btw, MCLEAN-18-maven-clean-plugin.patch also applied the maven-clean-plugin-dcabasson-MCLEAN17.txt fix.",0,Would like to pick up this fix with the stable release if possible.,Creating Payment Application for outstanding amount [0.0] instead.,0,"Sorry, grabbed the wrong ticket.",1,Could you let us know if speculative execution was turned on?,0,Thanks Andrew.,0
Damn time has flown...,1,"Sounds weird to me...
Could you package a (totally!)",1,0,"> DistributedHashTable is a good solution but then how are we planning 
> to acheive let say a Distributed LRU Cache or Distributed Time-limited 
> or a Distributed Count-Limited Cache.",0,"My testing turns up not issues, so , once again, thanks for finding this Rick, I'd gone blind to the problem and it was driving me mad!",Currently the user passwords are too insecure.,0,"Sorry, I took Martin's comment to mean the patch was committed and issue closed, which certainly discarded all the patches the first time around.",1,Could you verify if there is still an issue with a 5.6 snapshot.,0,Thanks Bob your patch is in trunk at r932317,1
"Damn, Chuck is scary.",1,Submit a patch and I'll play with it.,0,0,"I am not mandating to use DistributedHashtable directly by plugging it into
Castor as it is, but as the base for 'distributable' TimeLimited, CountLimited
et alias cache implementations.",0,"Enis/Ashutosh, we can try coming up with the testcase.",Damn.,1,"Sorry, missed that select-box.",1,Could you verify the fix against the next nightly snapshot?,0,Thanks Brock!,1
"Damn, Chuck is scary.",1,Tabs are evil.,1,0,I will re-work and submit another patch.,0,"But, in the meanwhile, can I upload a patch which reverts this ?",data sync is external to cloudstack,0,"Sorry, misunderstood the issue!",1,"created: 2005-09-18 23:36:49.000
resolved: 2007-06-04 10:08:18.657
updated: 2011-05-10 16:51:30.000",0,Thanks for looking into this Suresh.,1
"Damn, I would close this out from the fix to JBSEAM-3742, except the quartz and seampay examples use a custom XML namespace and the XML schema validator is not happy with that.",1,"Tag is documented and demo'd, but does need a Facelets tag.",0,0,Will upgrade to 1.0.10 and check it.,0,"dead branch, no sure which code generator it's talking about","David,
I've done a little digging and have a question around: OrderReadHelper.getOrderItemQuantityBd()
Firstly going back a while now this log:
http://svn.ofbiz.org/viewcvs/trunk/components/order/src/org/ofbiz/order/order/OrderReadHelper.java?rev=4367&r1=4281&r2=4367
shows a change to the strings that seems to make the first if statement redundant?!",0,"Sorry, on holiday last week and just catching up.",1,"created: 2006-11-08 15:55:12.000
resolved: 2007-06-04 10:08:36.132
updated: 2011-05-10 16:12:23.000",0,Thanks for sweet patch Erik.,1
"Damn, it seemed it didn't work.",1,Thanks for the info David.,0,0,Will re-enable assertions too.,0,Patch is committed to trunk.,"dc36d49eb3e240b3d8fd8b89ab178a7b1ec17d8b TS-1513: SPDY plugin crashes on connection close
Thanks for testing!",0,"Sorry, Thiru, I hope you haven't already started working on this!",1,"created: 2009-09-01 05:38:20.000
resolved: 2009-09-22 18:54:05.051
updated: 2011-04-15 15:06:27.000",0,"Thanks for taking a look, Jiannan",1
Damn.,1,"That irritated the hell out of me too, but I didn't realise it was configurable in the .launch file.",1,0,{{TrivariateRealFunction}} renamed in r1236932.,0,"Btw, I only get this error in LDAP Studio.","Depending of the release date for Camel 2.6 and the priority of the other issues (may be I can reschedule [CAMEL-3471|https://issues.apache.org/jira/browse/CAMEL-3471] and/or other issues), I can do it in the remaining time.",0,"Sorry, this affects 0.9.3 version too.",1,Daryn - did you get a chance to review the latest patch for this?,0,Thanks for the patch Erik (and Jon),1
Damn...,1,That is bad.,1,0,"yeah, I think so.",0,Not in LDAP Browser 2.8.2 or MS AD Explorer.,Did you forget to commit {{InvertibleRealLinearOperator}} ?,0,"sorry, this bug is *not* fixed.",1,Deleting an entry now flushes the main page cache.,0,Thanks for the quick patching Donald!,1
Default is true.,0,"That said, I had to do something similar in configurators, and I did this by adding wrappers to the getInitParameter.",0,0,we just used it with CBR (content based routing).,0,Thanks.,Didn't got the time to try it yet.,1,"Sorry, we are no longer using Xerces.",1,directly into Zookeeper to reduce this.,0,Thanks for the solutionhints.,0
Definitely true!,0,"That would be a improvement in trinidad, but that doesn't solve the core problem in MyFaces.",0,0,Now the JBossESB changed to SwitchYard and we need to ensure it works.,0,TestSkewedJoin finishes when you give it enough time (a mere 49 minutes) and the other tests I ran passed as well.,Do you mean you checked your proposition or mine?,0,"Sorry,I haven't tried you patch.",1,Do more modern version of the Flash player work 11.3- 11.6?,0,Thanks for you work on this Jayachandra.,1
derbynetmats had no failures.,0,That's basically all I am saying.,0,0,We are restructuring the trunk now from jboss as 4.2 and it's unstable.,0,"Milinda, patch applied !","Done, sorry for all the mess on a simple patch.",1,Sorry; I hit close by accident.,1,Do you mean more test cases?,0,Thanks Hairong!,1
Didn't see the selector the first time round.,0,That's pretty unlikely.,1,0,You should check out and build revision 693 of the trunk.,0,Zhenxiao I left comments on Phabricator.,Especially I don't know very much about the test framework differences.,1,sorry.. redeploy patch,1,Do you want me to tweak the patch to rename the alternate body header tag andif move it to the MailConstants?,0,Thanks Hari!,1
Didn't we just do this a month ago?,0,"The ci server does not close issue only comments on them, I closed this issue.",0,0,pushed,0,"Hi Sergey, thanks for the patch.",Eventually I decided to include just one patch file (instead of code and test) since it was simpler after all.,0,Stopping SQL routines accessing the privileged blocks is through DERBY-2331 and DERBY-2330,0,Does it care at all?,0,Thanks Ilya.,1
Disagree.,0,"The KahaDBStore.getDestinations() method looks as though it would be pretty heavy, performance wise.",0,0,It is not in the requirement.,0,But why have you added testPropertyChangePropertyChangeEvent test?,Everything timed out.,0,Stopping' gets us closer to classic Lifecycle.,0,Does nexus check for https connections for anything?,0,Thanks Martina.,1
Do I miss something there?,0,The latest patch for SimpleURIResolver and resolver framework.,0,0,I move it into 2.1-M1.,0,Or at least has some relation to above problem?,"Example, for case: Preconditions.checkArgument(size >= 0, ""size must be at least 0""); we can do like Preconditions.checkArgument(size >= 0, ""Wrong size: "" + size + "".",0,"Thanks Rashko,
I have committed your patch in trunk revision 664697.",0,Does not appear to exist in trunk.,0,"Thanks Oliver, that's fixed it.",1
